symbol,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ensgene
CDC25C,39.52532365266893,0.0812568082321395,0.491765333109485,0.16523492560637404,0.8687590764140293,0.9888694061836454,ENSG00000158402
SLC16A5,106.55631897284206,-0.19735073924811422,0.3493899530763906,-0.5648437727256728,0.572180030894795,0.9447052667096839,ENSG00000170190
NGRN,1725.7612523912528,0.06208632097099927,0.12790170182005633,0.48542216473669686,0.6273769129128829,0.9556017507750924,ENSG00000182768
IFNGR2,1052.7294648708166,0.3033697876464295,0.1375412151063959,2.2056645886962385,0.02740749307592926,0.36972875506237757,ENSG00000159128
RPL26,31083.559617507435,0.05807690493158083,0.12881674056007833,0.4508490486490347,0.6520983477277333,0.9617162582604459,ENSG00000161970
GPATCH8,1682.6580010940402,0.0638227077309081,0.11955204986016009,0.533848711130938,0.5934462092546845,0.951068799869571,ENSG00000186566
NOC2L,2330.605937673979,0.20892484684193427,0.12016449353286254,1.7386570749769572,0.08209510068559274,0.6007666164283485,ENSG00000188976
SYS1,351.8799310320154,0.05783857548603439,0.18813616161942825,0.307429337285159,0.7585166007575294,0.9780695675880237,ENSG00000204070
KATNAL1,383.60175153749265,-0.011493139317182993,0.16687056486565863,-0.0688745754917034,0.9450894562678619,0.9948205297746222,ENSG00000102781
ATF1,294.160297820833,0.030611697278390998,0.20243419378072455,0.15121801661407755,0.8798037385191613,0.9905307973312546,ENSG00000123268
SUFU,438.03136240250973,-0.025435428549549787,0.16360333567376784,-0.15547010973094788,0.8764507163786553,0.990345766888898,ENSG00000107882
CAT,906.6979615895518,-0.35976322236323005,0.1445675685449009,-2.4885472307815153,0.012826619885632802,0.2496486738376037,ENSG00000121691
TMX2,1117.6796774885183,0.10592343583541687,0.14535956956792842,0.7286994323818321,0.46618554010427143,0.913137291967314,ENSG00000213593
GOPC,1055.4211136388637,0.12542353651577826,0.1519223035407261,0.8255768481166804,0.40904417285429173,0.8969006878112398,ENSG00000047932
UROD,984.720518651434,-0.041468585326886256,0.13648040543634196,-0.30384277650924985,0.7612476754828131,0.9780695675880237,ENSG00000126088
FAF1,570.4553233248064,0.005131005057914815,0.15613579440501094,0.03286245205635015,0.9737842755305662,0.9969166036768289,ENSG00000185104
PDPN,1391.8490961572725,0.46616562571714615,0.131466149213409,3.5458985336249524,3.9127683516101394e-4,0.024334056611712902,ENSG00000162493
NDUFB3,1142.1141102834927,-0.14323693186673517,0.17496897752860036,-0.8186418752051158,0.41299076810064755,0.8994034799055435,ENSG00000119013
